[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:15.683]0 | 1013 | 0 |    0   27 | 1 |  29  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.786]0 | 1010 | 0 |    0   28 | 1 |  29  0 | 0  0 | 10 : 9 :57 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.883]0 | 1007 | 0 |    0   29 | 1 |  28  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:15.985]0 | 1005 | 0 |    0   30 | 1 |  28  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.095]0 | 1004 | 0 |    0   31 | 1 |  30  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.183]0 | 1002 | 0 |    0   32 | 1 |  29  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
0 | 1001 | 0 |    0   33 | 1 |  28  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.385]0 | 1000 | 0 |    0   34 | 1 |  28  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.482]0 |  998 | 0 |    0   35 | 1 |  27  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.583]0 |  997 | 0 |    0   36 | 1 |  25  0 | 0  0 | 10 : 9 :58 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.682]0 |  996 | 0 |    0   37 | 1 |  27  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.784]0 |  995 | 0 |    0   38 | 1 |  28  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.885]0 |  994 | 0 |    0   39 | 1 |  29  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:16.985]0 |  993 | 0 |    0   40 | 1 |  29  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.085]0 |  993 | 0 |    0   41 | 1 |  29  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.185]0 |  992 | 0 |    0   42 | 1 |  29  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.282]0 |  991 | 0 |    0   43 | 1 |  30  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.385]0 |  991 | 0 |    0   44 | 1 |  29  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.484]0 |  990 | 0 |    0   45 | 1 |  27  0 | 0  0 | 10 : 9 :59 | 2  0  2 #  835 # 10   2  51 | 10   8  49 # 0  0   11   10 
[10:07:17.603]0 |  990 | 0 |    0   46 | 1 |  26  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 #255 255 255 |255 255 255 # 0  0   11   10 
[10:07:17.714]0 |  989 | 0 |    0   47 | 1 |  27  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 #255 255 255 |255 255 255 # 0  0   11   10 
[10:07:17.802]1 |  989 | 1 |   83    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 #255 255 255 |255 255 255 # 0  0   11   10 
[10:07:17.882]1 |  989 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:17.963]1 |  989 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.062]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.174]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.263]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
